key,wine_raw,vintage,format_ml,price,source,source_type,note
domaine denis pere et fils corton charlemagne|2008|750,Domaine Denis Pere et Fils Corton-Charlemagne,2008,750,147,Wine-Searcher average retail (all-vintage producer average),ws_allvintage,Snippet gave a general Wine-Searcher average of $147/750ml for Denis Pere Corton-Charlemagne without vintage breakdown; applied to the 2008.
domaine denis pere et fils corton charlemagne|2009|750,Domaine Denis Pere et Fils Corton-Charlemagne,2009,750,147,Wine-Searcher average retail (all-vintage producer average),ws_allvintage,Snippet gave a general Wine-Searcher average of $147/750ml for Denis Pere Corton-Charlemagne without vintage breakdown; applied to the 2009.
domaine denis pere et fils pernand vergelesses sous fretille|2009|750,Domaine Denis Pere et Fils Pernand Vergelesses Sous Fretille,2009,750,48,Estimate based on appellation norms,estimate,"Search returned Sous Fretille data for a different producer (Rapet), not Denis Pere; no usable price found for Denis Pere's bottling. Estimated from premier cru Pernand-Vergelesses white pricing norms."
domaine denis pere et fils pernand vergelesses|2009|750,Domaine Denis Pere et Fils Pernand-Vergelesses,2009,750,38,"Estimate, informed by adjacent Wine-Searcher data point",estimate,"Snippet found a $51 avg price for Denis Pere's 2009 Ile de Vergelesses (a different, premier cru bottling); this plain village-level Pernand-Vergelesses would typically price lower, estimated at $38."
domaine des lambrays morey st denis 1er cru les loups|2019|750,Domaine des Lambrays Morey St. Denis 1er Cru Les Loups,2019,750,200,"Wine-Searcher average, adjacent vintage (2020) used as proxy",ws_adjacent,"No 2019-specific price in snippet (only critic scores); used the 2020 vintage's Wine-Searcher average of $222/750ml as an adjacent-vintage reference, discounted slightly to $200 for the earlier release."
domaine des lambrays morey st denis 1er cru les loups|2020|750,Domaine des Lambrays Morey St. Denis 1er Cru Les Loups,2020,750,222,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine des malandes chablis vaudesir|2019|750,Domaine des Malandes Chablis Vaudésir,2019,750,96,"Wine-Searcher listing, $96, 92/100 (context: 2019 vintage discussion)",ws_vintage,
domaine du collier saumur blanc|2016|750,Domaine du Collier Saumur Blanc,2016,750,90,Estimate using adjacent-vintage Wine-Searcher data (2019 average $126),ws_adjacent,"No 2016-specific price found (only critic/community scores); used 2019 vintage's $126 Wine-Searcher average as reference, discounted to ~$90 given typical price appreciation for this cuvee since 2016."
domaine du collier saumur blanc|2018|750,Domaine du Collier Saumur Blanc,2018,750,105,Estimate using adjacent-vintage Wine-Searcher data (2019 average $126),ws_adjacent,"No 2018-specific price found (only critic/community scores); used 2019 vintage's $126 Wine-Searcher average as adjacent reference, discounted slightly to ~$105."
domaine du collier saumur blanc|2019|750,Domaine du Collier Saumur Blanc,2019,750,126,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine du collier saumur la ripaille|2016|750,Domaine du Collier Saumur La Ripaille,2016,750,109,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine du collier saumur la ripaille|2018|750,Domaine du Collier Saumur La Ripaille,2018,750,107,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine du collier saumur la ripaille|2019|750,Domaine du Collier Saumur La Ripaille,2019,750,84,"Wine-Searcher store listings, vintage-specific (averaged two listed prices)",ws_vintage,"Snippet gave individual WS merchant prices rather than a single average ($68 Sec Wines, $99.98 Vintage Wine Merchants); averaged to $84."
domaine du pegau chateauneuf du pape cuvee reservee|2010|750,Domaine du Pegau Chateauneuf-du-Pape Cuvee Reservee,2010,750,127,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine du pegau chateauneuf du pape cuvee reservee|2015|1500,Domaine du Pegau Chateauneuf-du-Pape Cuvee Reservee,2015,1500,228,"Wine-Searcher average retail, vintage-specific (scaled from 750ml)",ws_vintage,"750ml WS average for 2015 was ~$104 (averaged two snippet figures, $110 and $97); scaled to magnum at 750ml price x 2.2 = $228."
domaine du pegau chateauneuf du pape cuvee reservee|2015|750,Domaine du Pegau Chateauneuf-du-Pape Cuvee Reservee,2015,750,104,"Wine-Searcher average retail, vintage-specific (averaged two snippet figures)",ws_vintage,Snippet showed two differing WS averages for 2015 ($110 and $97); averaged to $104.
domaine du pegau chateauneuf du pape cuvee reservee|2016|750,Domaine du Pegau Chateauneuf-du-Pape Cuvee Reservee,2016,750,84,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine du pelican arbois savagnin ouille|2018|750,Domaine du Pelican Arbois Savagnin Ouille,2018,750,90,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine du vieux telegraphe chateauneuf du pape|2008|750,Domaine du Vieux Telegraphe Chateauneuf-du-Pape,2008,750,117,"Wine-Searcher average retail, adjacent vintage (2007) used as proxy for 2008",ws_adjacent,No 2008-specific WS price surfaced in the snippet; used the 2007 vintage average ($117 ex-tax) as the closest proxy. Likely the domaine's 'La Crau' standard bottling.
domaine grosbois chinon gabare|2020|750,Domaine Grosbois Chinon Gabare,2020,750,42,Wine-Searcher average retail (vintage not explicitly tagged in snippet),ws_allvintage,WS snippet listed an average price ($42) without a vintage-specific URL slug; treated as matching the 2020 release since that's the current vintage referenced elsewhere in the same results.
domaine guiberteau saumur bizay les chapaudaises|2018|750,Domaine Guiberteau Saumur Bizay Les Chapaudaises,2018,750,56,"Wine-Searcher store listings, vintage-specific (averaged two listed prices)",ws_vintage,"Averaged two WS 750ml listings ($54.99, $56.91) for the 2018 vintage."
domaine guiberteau saumur blanc breze clos des carmes|2016|750,Domaine Guiberteau Saumur Blanc Breze Clos des Carmes,2016,750,143,"Wine-Searcher average retail, all-vintage average (2016-specific price not isolated in snippet)",ws_allvintage,"Snippet gave an all-vintage WS average (~$142-143) rather than a 2016-specific figure. A November 2022 auction result showed the 2016 selling for EUR85.62, notably lower than the WS average, but WS average was used per source priority."
domaine guiberteau saumur blanc les moulins|2019|750,Domaine Guiberteau Saumur Blanc Les Moulins,2019,750,37,"Wine-Searcher average retail, not clearly vintage-tagged",ws_allvintage,Snippet prices ranged $34-40 without a clean 2019-specific WS average; used midpoint ~$37.
domaine guiberteau saumur blanc les moulins|2020|750,Domaine Guiberteau Saumur Blanc Les Moulins,2020,750,43,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine guiberteau saumur blanc|2020|750,Domaine Guiberteau Saumur Blanc,2020,750,43,"Wine-Searcher average retail, vintage-specific",ws_vintage,Same $43 figure appeared in the snippet for both this standard bottling and the Les Moulins 2020 cuvee; used as reported but flagged as possibly conflated between the two Guiberteau bottlings.
domaine guiberteau saumur blanc|2022|750,Domaine Guiberteau Saumur Blanc,2022,750,58,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine guiberteau saumur breze blanc|2017|750,Domaine Guiberteau Saumur Breze Blanc,2017,750,96,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine guiberteau saumur breze blanc|2018|750,Domaine Guiberteau Saumur Breze Blanc,2018,750,114,"Wine-Searcher average retail (USA), vintage-specific",ws_vintage,UK WS average was $96; used the USA figure ($114) as this pipeline targets the US market.
domaine guiberteau saumur breze blanc|2019|750,Domaine Guiberteau Saumur Breze Blanc,2019,750,97,"Wine-Searcher average retail (USA), vintage-specific",ws_vintage,
domaine guiberteau saumur breze blanc|2021|750,Domaine Guiberteau Saumur Breze Blanc,2021,750,100,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine guiberteau saumur clos de guichaux|2018|750,Domaine Guiberteau Saumur Clos de Guichaux,2018,750,67,"Wine-Searcher average retail (USA), vintage-specific",ws_vintage,UK WS average was GBP47; used the USA figure ($67) as this pipeline targets the US market.
domaine guiberteau saumur clos de guichaux|2019|750,Domaine Guiberteau Saumur Clos de Guichaux,2019,750,60,"Wine-Searcher average retail, vintage-specific",ws_vintage,"Snippet gave average price in GBP (£47/750ml, ex-tax); converted to USD at ~1.27 rate (~$60)."
domaine guiberteau saumur clos de guichaux|2020|750,Domaine Guiberteau Saumur Clos de Guichaux,2020,750,60,"Wine-Searcher average retail, adjacent vintage (2019) used as substitute",ws_adjacent,No 2020-specific price appeared in the search snippet; used 2019 Wine-Searcher average price (£47 ≈ $60 USD) as adjacent-vintage substitute.
domaine guiberteau saumur epieds les chapaudaises|2019|750,Domaine Guiberteau Saumur Épieds Les Chapaudaises,2019,750,65,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine guiberteau saumur epieds les chapaudaises|2020|750,Domaine Guiberteau Saumur Épieds Les Chapaudaises,2020,750,76.75,"Wine-Searcher retailer prices, vintage-specific",ws_vintage,Snippet cited a Wine-Searcher retailer range of $65-$88.50 for the 2020; used the midpoint.
domaine guiberteau saumur les arboises|2017|750,Domaine Guiberteau Saumur Les Arboises,2017,750,89,"Wine-Searcher average retail, vintage-specific",ws_vintage,Snippet also showed a $83 single listing; used the stated Wine-Searcher average of $89/750ml.
domaine guiberteau saumur les arboises|2018|750,Domaine Guiberteau Saumur Les Arboises,2018,750,79.99,"Wine-Searcher listing, vintage-specific (The Red Wagon Wine Shoppe, MI)",ws_vintage,Snippet gave a specific retailer listing via Wine-Searcher rather than a stated average.
domaine guiberteau saumur les arboises|2019|750,Domaine Guiberteau Saumur Les Arboises,2019,750,35,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine guiberteau saumur rouge|2018|750,Domaine Guiberteau Saumur Rouge,2018,750,65,"Wine-Searcher average retail, vintage-specific",ws_vintage,Snippet also noted a single retailer (Aabalat Fine & Rare) at $88.50; used the stated Wine-Searcher average of $65.
domaine guiberteau saumur rouge|2022|750,Domaine Guiberteau Saumur Rouge,2022,750,40,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine guiberteau saumur vin rose|2021|750,Domaine Guiberteau Saumur Vin Rosé,2021,750,25,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine huet vouvray le haut lieu moelleux premiere trie|2022|750,Domaine Huet Vouvray Le Haut-Lieu Moelleux Premiere Trie,2022,750,92,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine huet vouvray le haut lieu sec|2019|750,Domaine Huet Vouvray Le Haut-Lieu Sec,2019,750,40,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine huet vouvray le haut lieu sec|2021|750,Domaine Huet Vouvray Le Haut-Lieu Sec,2021,750,44,"Wine-Searcher average retail, vintage-specific (USA average)",ws_vintage,Snippet also cited a France average of $32; used the USA average of $44 per instructions to establish US market price.
domaine huet vouvray le mont moelleux premiere trie|2018|750,Domaine Huet Vouvray Le Mont Moelleux Premiere Trie,2018,750,102,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine huet vouvray le mont moelleux premiere trie|2022|750,Domaine Huet Vouvray Le Mont Moelleux Premiere Trie,2022,750,102,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine huet vouvray le mont moelleux|2003|750,Domaine Huet Vouvray Le Mont Moelleux,2003,750,146.67,"Wine-Searcher listing, vintage-specific",ws_vintage,
domaine huet vouvray le mont sec|2020|750,Domaine Huet Vouvray Le Mont Sec,2020,750,,Insufficient data,insufficient,"Search snippet discussed the wine and vineyard but returned no usable price figure for the 2020 Le Mont Sec; per budget, no retry was made."
domaine j p and j l jamet cotes du rhone|2020|750,Domaine J.P & J.L. Jamet Cotes du Rhone,2020,750,40,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine jamet collines rhodaniennes syrah|2018|750,Domaine Jamet Collines Rhodaniennes Syrah,2018,750,45,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine jamet condrieu vernillon|2020|750,Domaine Jamet Condrieu Vernillon,2020,750,86,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine jamet condrieu vernillon|2021|750,Domaine Jamet Condrieu Vernillon,2021,750,86,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine jean fournier bourgogne blanc origines cuvee speciale|2019|750,Domaine Jean Fournier Bourgogne Blanc Origines Cuvée Speciale,2019,750,41,"Aggregated retail pricing (~$41), not confirmed as a Wine-Searcher-branded snippet",ws_single_retailer,Search snippet gave a price without a clear Wine-Searcher attribution; treated as single-retailer-equivalent data point.
domaine laroche chablis st martin|2021|750,Domaine Laroche Chablis St. Martin,2021,750,39,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine laroche chablis st martin|2022|750,Domaine Laroche Chablis St. Martin,2022,750,39,Wine-Searcher average retail for 2021 vintage used as adjacent-vintage proxy,ws_adjacent,Search returned ratings but no price specific to 2022; used the 2021 Wine-Searcher average ($39) as a proxy since this cuvee's pricing is typically stable year to year.
domaine lejeune pommard les argillieres|2017|750,Domaine Lejeune Pommard Les Argillières,2017,750,69,"Wine-Searcher average retail (appears to be an all-vintage average, not confirmed vintage-specific for 2017)",ws_allvintage,
domaine les alexandrins crozes hermitage les chaflans|2019|750,Domaine les Alexandrins Crozes-Hermitage Les Chaflans,2019,750,30,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine les pallieres gigondas|1998|750,Domaine Les Pallieres Gigondas,1998,750,53,"Wine-Searcher average retail, cited in context of the 1998 vintage",ws_vintage,
domaine ninot mercurey vieilles vignes|2005|750,Domaine Ninot Mercurey Vieilles Vignes,2005,750,30,"Wine-Searcher average retail (current-listing average, not 2005-specific)",ws_adjacent,Snippet explicitly stated no 2005-specific data was found; used the general/current Wine-Searcher average ($30) as an adjacent-vintage proxy. Actual value of this 21-year-old vintage may differ.
domaine parent pommard les epenots|2019|750,Domaine Parent Pommard Les Épenots,2019,750,208,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine perrot minot gevrey chambertin|2016|750,Domaine Perrot-Minot Gevrey Chambertin,2016,750,174,"Retailer listing, Gevrey-Chambertin Vieilles Vignes 2016 bottling used as closest match",ws_single_retailer,"wine_raw has no vineyard designation; closest matching bottling in search results was the Vieilles Vignes 2016 at $174 (a pricier Justice des Seuvrées cuvee at $233 was a different, more specific bottling)."
domaine pierre gonon chasselas|2020|750,Domaine Pierre Gonon Chasselas,2020,750,64.95,"Single retailer listing, vintage-specific",ws_single_retailer,
domaine pierre gonon saint joseph les oliviers blanc|2018|750,Domaine Pierre Gonon Saint Joseph Les Oliviers Blanc,2018,750,113,Average retail price cited in vintage-specific (2018) search context,ws_vintage,
domaine pierre gonon saint joseph les oliviers blanc|2020|750,Domaine Pierre Gonon Saint Joseph Les Oliviers Blanc,2020,750,105,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine pierre gonon saint joseph|2016|750,Domaine Pierre Gonon Saint-Joseph,2016,750,166.5,"Retailer pricing, vintage-specific, averaged across two listings ($164 and $169)",ws_single_retailer,Averaged two retailer prices cited in the search result ($164 and $169).
domaine pierre gonon saint joseph|2018|750,Domaine Pierre Gonon Saint-Joseph,2018,750,129.95,"Single retailer listing, vintage-specific",ws_single_retailer,
domaine rene monnier meursault le limozin|1996|750,Domaine René Monnier Meursault Le Limozin,1996,750,60,Estimate based on general knowledge of village-level Meursault pricing at this age,estimate,"No price data in search snippet (search explicitly found no 1996-specific Wine-Searcher data). Reasoned estimate for a 30-year-old village-level white Burgundy, likely past peak with limited collector demand."
domaine richard rottiers moulin a vent champ de cour|2022|750,Domaine Richard Rottiers Moulin-a-Vent Champ de Cour,2022,750,28,Wine-Searcher average retail (vintage not explicitly confirmed as 2022 in snippet),ws_allvintage,"Search targeted the 2022 vintage; the Wine-Searcher price found ($28) did not explicitly confirm the vintage, so treated as an all-vintage average."
domaine robert chevillon nuits saint georges les pruliers|2016|750,Domaine Robert Chevillon Nuits-Saint-Georges Les Pruliers,2016,750,166,"Wine-Searcher average retail, vintage-specific",ws_vintage,
domaine robert chevillon nuits st georges les cailles|2016|750,Domaine Robert Chevillon Nuits-St.-Georges Les Cailles,2016,750,175,"Estimate based on comparable sibling cuvee (Les Pruliers 2016, Wine-Searcher avg $166)",estimate,"No price found in search snippet for this specific cuvee. Estimated from the same producer's comparable 2016 premier cru Les Pruliers ($166 WS average), adjusted slightly upward since Les Cailles is noted as one of the domaine's most sought-after crus."
domaine santa duc grand grenache 66|2009|750,Domaine Santa Duc Grand Grenache 66,2009,750,,Insufficient data,insufficient,Search returned critic scores and tasting notes only; no pricing information found for this limited-production cuvee.
domaine vincent dauvissat irancy|2018|750,Domaine Vincent Dauvissat Irancy,2018,750,113,"Wine-Searcher, vintage-specific ex-tax price",ws_vintage,
domaine vincent paris cornas granit 30|2018|750,Domaine Vincent Paris Cornas Granit 30,2018,750,,Insufficient data,insufficient,"Search returned tasting notes and retailer listing links (Wine.com, Master of Malt) but no usable price figure in the snippet text; one-search budget exhausted."
domaine vincent paris cornas granit 60 vieilles vignes|2017|750,Domaine Vincent Paris Cornas Granit 60 Vieilles Vignes,2017,750,,Insufficient data,insufficient,Search returned production/tasting notes and retailer links but no usable price figure in the snippet text; one-search budget exhausted.
domaine vincent paris cornas la geynale|2017|750,Domaine Vincent Paris Cornas La Geynale,2017,750,,Insufficient data,insufficient,Search returned critic score (91/100) but no usable price figure in the snippet text; one-search budget exhausted.
domaine vincent paris cornas la geynale|2020|750,Domaine Vincent Paris Cornas La Geynale,2020,750,83,"Wine-Searcher, vintage-specific average price",ws_vintage,
e guigal cotes du rhone|2017|750,E. Guigal Côtes du Rhône,2017,750,18,"Wine-Searcher, vintage-specific average price (ex-tax, USA), red wine",ws_vintage,
e guigal cotes du rhone|2018|750,E. Guigal Côtes du Rhône,2018,750,17,"Wine-Searcher, vintage-specific average price (ex-tax)",ws_vintage,A second Wine-Searcher listing in the same search showed $16 ex-tax alongside an 89/100 critic score; used the $17 figure as primary.
edmond cornu aloxe corton 1er cru les valozieres|2011|750,Edmond Cornu Aloxe-Corton 1er Cru Les Valozières,2011,750,,Insufficient data,insufficient,"Wine-Searcher listings found for 2009, 2014, 2016, 2022 vintages but not 2011; no usable price for the specific vintage within one-search budget."
emidio pepe montepulciano d abruzzo|2016|750,Emidio Pepe Montepulciano d' Abruzzo,2016,750,149.99,"Chambers Street Wines retailer listing, 2016 vintage",ws_single_retailer,"Wine-Searcher's own vintage comparison table showed a dash (no price) for 2016, so used single-retailer price instead."
eric et emmanuel dampt chablis vieilles vignes|2020|750,Eric Et Emmanuel Dampt Chablis Vieilles Vignes,2020,750,30,"Wine-Searcher average price (ex-tax, USA), all-vintage",ws_allvintage,"Listing found under producer name 'Vignoble Dampt Freres' (same estate/label variant). Price not split by vintage; the 2020 vintage was mentioned in context (won Concours General Agricole Argent medal, 90/100 critic score) but the $30 figure appears to be a general average rather than 2020-specific."
faiveley chambolle musigny la combe d orveau|2008|750,Faiveley Chambolle Musigny La Combe d'Orveau,2008,750,234,"Wine-Searcher, all-vintage average price",ws_allvintage,"2008 vintage not separately listed; search showed 2017 at $174 and 2020s vintages around $100-110, so this general average may overstate an older vintage like 2008. Used as best available figure."
faiveley montagny|2006|750,Faiveley Montagny,2006,750,,Insufficient data,insufficient,Search returned other Faiveley 2006 wines (e.g. Chambertin Clos de Beze at $304) but no price for Montagny 2006 specifically; one-search budget exhausted.
faiveley nuits st georges les porets st georges|2006|750,Faiveley Nuits St. Georges Les Porets St. Georges,2006,750,118.33,"Grand Cru Direct retailer listing, 2006 vintage, case price of $710 divided by 6",ws_single_retailer,Retailer listed as $710.00 per case (6 bottles); divided to get per-bottle price.
famille perrin chateauneuf du pape les sinards|2021|750,Famille Perrin Chateauneuf du Pape Les Sinards,2021,750,50,"Wine-Searcher, vintage-specific average price (ex-tax)",ws_vintage,
father john pere jean chablis bougros|2018|750,Father John Pere Jean Chablis Bougros,2018,750,,Insufficient data,insufficient,No matching producer/wine found on Wine-Searcher or elsewhere; name may be a mistranslation/garbling of the actual producer (search returned only unrelated Chablis Grand Cru Bougros producers).
fattoria di felsina chianti classico riserva rancia|2013|750,Fattoria di Felsina Chianti Classico Riserva Rancia,2013,750,66,"Wine-Searcher, vintage-specific average price (ex-tax)",ws_vintage,
fiorenzo nada barbaresco manzola|2016|750,Fiorenzo Nada Barbaresco Manzola,2016,750,74,"Wine-Searcher, vintage-specific average price (ex-tax)",ws_vintage,Retail prices found ranged $38-74 depending on merchant; used the Wine-Searcher average.
franck balthazar cornas les chaillot|2013|750,Franck Balthazar Cornas Les Chaillot,2013,750,122,"Wine-Searcher, vintage-specific average price (ex-tax)",ws_vintage,
franck balthazar cornas les chaillot|2014|750,Franck Balthazar Cornas Les Chaillot,2014,750,125,"Wine-Searcher, vintage-specific average price (ex-tax)",ws_vintage,A second Wine-Searcher listing showed $109 ex-tax; used $125 as primary figure.
franck balthazar cornas les chaillot|2015|750,Franck Balthazar Cornas Les Chaillot,2015,750,130,"Wine-Searcher, vintage-specific average price (ex-tax)",ws_vintage,Current retail listings ranged $149-149.99; used the Wine-Searcher average as primary figure.
francois carillon puligny montrachet les champs gain|2020|750,Francois Carillon Puligny-Montrachet Les Champs-Gain,2020,750,85,Estimate based on general knowledge of producer/appellation,estimate,Wine-Searcher search snippet returned tasting notes/ratings but no price figure; reasoned estimate for a respected-grower Puligny-Montrachet 1er Cru current release.
fratelli oddero barolo|2017|750,Fratelli Oddero Barolo,2017,750,45,Estimate based on general knowledge of producer/appellation,estimate,Search returned info on Oddero's 2017 Barolo lineup (and a related Figli Luigi Oddero) but no price for the base/normale bottling; reasoned estimate for a standard-tier Barolo from this producer.
g d vajra barolo albe|2013|750,G.D. Vajra Barolo Albe,2013,750,40,"Wine-Searcher average retail, vintage-specific",ws_vintage,
g d vajra barolo bricco delle viole|2010|750,G.D. Vajra Barolo Bricco delle Viole,2010,750,148,"Wine-Searcher average retail, vintage-specific",ws_vintage,
g d vajra barolo bricco delle viole|2011|750,G.D. Vajra Barolo Bricco delle Viole,2011,750,110,"Wine-Searcher average retail, adjacent vintage used as proxy",ws_adjacent,No 2011-specific price found in search snippet; used 2012 vintage price ($110) as proxy.
g d vajra barolo bricco delle viole|2012|750,G.D. Vajra Barolo Bricco delle Viole,2012,750,110,"Wine-Searcher average retail, vintage-specific",ws_vintage,
g d vajra barolo bricco delle viole|2014|750,G.D. Vajra Barolo Bricco delle Viole,2014,750,83,"Wine-Searcher average retail, vintage-specific",ws_vintage,
g d vajra barolo bricco delle viole|2016|750,G.D. Vajra Barolo Bricco delle Viole,2016,750,104,"Wine-Searcher average retail, vintage-specific",ws_vintage,
g d vajra barolo bricco delle viole|2017|750,G.D. Vajra Barolo Bricco delle Viole,2017,750,89,"Wine-Searcher average retail, adjacent vintage used as proxy",ws_adjacent,No 2017-specific price found in search snippet; used 2018 vintage price ($89) as proxy.
g d vajra barolo bricco delle viole|2018|750,G.D. Vajra Barolo Bricco delle Viole,2018,750,89,"Wine-Searcher average retail, vintage-specific",ws_vintage,
g d vajra barolo ravera|2012|750,G.D. Vajra Barolo Ravera,2012,750,197,"Wine-Searcher average retail, vintage-specific",ws_vintage,
g d vajra barolo ravera|2013|750,G.D. Vajra Barolo Ravera,2013,750,79,"Wine-Searcher average retail, vintage-specific",ws_vintage,
g d vajra barolo ravera|2014|750,G.D. Vajra Barolo Ravera,2014,750,98,"Wine-Searcher average retail, vintage-specific",ws_vintage,
g d vajra barolo ravera|2015|750,G.D. Vajra Barolo Ravera,2015,750,99,"Wine-Searcher average retail, vintage-specific",ws_vintage,
g d vajra barolo ravera|2016|750,G.D. Vajra Barolo Ravera,2016,750,82,"Wine-Searcher average retail, vintage-specific",ws_vintage,Snippet gave a retailer range of $73-92 (6-bottle case pricing) rather than a single WS average; used midpoint ~$82.
g d vajra barolo ravera|2018|750,G.D. Vajra Barolo Ravera,2018,750,99,"Wine-Searcher average retail, vintage-specific",ws_vintage,
g h mumm brut grand cordon rose|NV|750,G.H. Mumm Brut Grand Cordon Rose,NV,750,67,"Wine-Searcher average retail, vintage-specific",ws_vintage,Snippet cited both $66 average (ex-tax) and ~$68 on Wine-Searcher; used midpoint ~$67. Wine is non-vintage (NV) so this is the current-release average.
georges lignier morey st denis clos des ormes|2017|750,Georges Lignier Morey-St.-Denis Clos des Ormes,2017,750,120,"Wine-Searcher average retail, vintage-specific",ws_vintage,
georges lignier morey st denis clos des ormes|2018|750,Georges Lignier Morey-St.-Denis Clos des Ormes,2018,750,120,"Wine-Searcher average retail, adjacent vintage used as proxy",ws_adjacent,No 2018-specific price found in search snippet; used 2017 vintage price ($120) as proxy.
giacomo conterno barbera d alba francia|2016|750,Giacomo Conterno Barbera d'Alba Francia,2016,750,116,"Wine-Searcher average retail, vintage-specific",ws_vintage,
gianni brunelli brunello di montalcino|2016|750,Gianni Brunelli Brunello di Montalcino,2016,750,80,Estimate based on producer/appellation quality,estimate,"Wine-Searcher search returned only a general producer price range ($22-$119 across all Gianni Brunelli wines), not a vintage-specific figure; estimated typical non-riserva Brunello di Montalcino retail."
gianni brunelli brunello di montalcino|2018|1500,Gianni Brunelli Brunello di Montalcino,2018,1500,198,"Estimate based on producer/appellation quality, scaled to magnum",estimate,No usable 750ml or 1500ml price surfaced (search only returned tasting notes/scores). Estimated 750ml base price of $90 (highly-rated 2018 vintage) scaled x2.2 for magnum = $198.
giovanni canonica langhe nebbiolo|2016|750,Giovanni Canonica Langhe Nebbiolo,2016,750,100,"Wine-Searcher, general range cited in vintage-focused discussion",ws_allvintage,Search snippet gave a range of ~$89-113 'depending on vintage and location' without a single 2016-specific figure; used midpoint $100.
giovanni manzone barolo bricat|2003|750,Giovanni Manzone Barolo Bricat,2003,750,75,Estimate based on producer/vineyard quality and vintage age,estimate,"Wine-Searcher listing found but no price in snippet, only a 90-pt critic score for the 2003. Estimated using knowledge of this small single-vineyard Barolo producer and typical aged-Barolo secondary pricing."
giuseppe e figlio mauro mascarello barbera d alba santo stefano di perno|2015|750,Giuseppe E Figlio (Mauro) Mascarello Barbera d'Alba Santo Stefano di Perno,2015,750,58,"Wine-Searcher average retail, vintage-specific",ws_vintage,
giuseppe e figlio mauro mascarello barolo monprivato|2019|750,Giuseppe E Figlio (Mauro) Mascarello Barolo Monprivato,2019,750,200,Estimate based on producer/cru quality,estimate,"Search returned only tasting notes/rating (95+) for the 2019 Monprivato, no price. Estimated from general knowledge of this top-tier Barolo cru's current market range."
giuseppe e figlio mauro mascarello barolo rocche villero in castiglione falletto|2019|750,Giuseppe E Figlio (Mauro) Mascarello Barolo Rocche Villero in Castiglione Falletto,2019,750,190,Estimate based on producer/cru quality,estimate,"Search identified this as the Villero cru bottling but returned no price, only vineyard/production notes. Estimated slightly below the sibling Santo Stefano di Perno bottling ($207) for the same producer/vintage."
giuseppe e figlio mauro mascarello barolo santo stefano di perno|2019|750,Giuseppe E Figlio (Mauro) Mascarello Barolo Santo Stefano di Perno,2019,750,207,"Wine-Searcher average retail, vintage-specific",ws_vintage,
guidobono segretevigne extra brut|2018|750,Guidobono Segretevigne Extra Brut,2018,750,32,"Wine-Searcher, general average (not vintage-split)",ws_allvintage,Search returned Wine-Searcher price range of $30-$34 for this wine without a vintage breakout; used midpoint $32.
guillaume gilles cornas|2020|1500,Guillaume Gilles Cornas,2020,1500,246,"Wine-Searcher average retail, vintage-specific, scaled to magnum",ws_vintage,"Wine-Searcher/retailer price for 750ml 2020 was $112 (Solano Cellars); scaled x2.2 for magnum = $246.40, rounded to $246."
harmand geoffroy gevrey chambertin en jouise|2017|750,Harmand-Geoffroy Gevrey-Chambertin En Jouise,2017,750,90,"Sage Society retail listing, 2017 vintage",ws_single_retailer,"No clean Wine-Searcher average surfaced; used single retailer (Sage Society, $89.99) as the most concrete vintage-specific figure, rounded to $90. Other snippets mentioned ~$97."
i paglieri roagna barbaresco albesani|2018|750,I Paglieri - Roagna Barbaresco Albesani,2018,750,175,Estimate based on sibling Roagna 2018 Barbaresco cru pricing,estimate,"Search returned tasting notes/rating (94+) but no price. Estimated in line with sibling 2018 Roagna Barbaresco bottlings found this session (Faset $174, Paje $178)."
i paglieri roagna barbaresco faset|2018|750,I Paglieri - Roagna Barbaresco Faset,2018,750,174,"Wine-Searcher average retail, vintage-specific",ws_vintage,
